Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Tests,Population,continent,Density
Mongolia,469550.0,30.0,2177.0,0.0,313256.0,0.0,154117.0,192.0,4030048.0,3373713.0,Asia,2.1597
Armenia,422822.0,8.0,8622.0,0.0,410548.0,13.0,3652.0,0.0,3032179.0,2973256.0,Asia,99.9215
Honduras,422275.0,0.0,10892.0,0.0,131100.0,0.0,280283.0,105.0,1263329.0,10189344.0,North America,90.862
Oman,389036.0,17.0,4257.0,0.0,384055.0,0.0,724.0,2.0,25000000.0,5341291.0,Asia,17.2019
Bosnia and Herzegovina,376699.0,0.0,15756.0,0.0,192218.0,0.0,168725.0,0.0,1752716.0,3243932.0,Europe,63.4521
Réunion,374295.0,0.0,742.0,0.0,355605.0,0.0,17948.0,10.0,1603660.0,906863.0,Africa,358.0
Qatar,364089.0,77.0,677.0,0.0,362568.0,117.0,844.0,1.0,3425362.0,2807805.0,Asia,257.1996
Kenya,323696.0,8.0,5649.0,0.0,317909.0,7.0,138.0,0.0,3581506.0,55911680.0,Africa,96.8615
Zambia,318984.0,0.0,3974.0,0.0,314075.0,0.0,935.0,0.0,3408441.0,19314138.0,Africa,25.8702
North Macedonia,309062.0,0.0,9271.0,0.0,299064.0,0.0,727.0,0.0,2007553.0,2083219.0,Europe,80.9436
Botswana,305859.0,0.0,2688.0,0.0,303026.0,0.0,145.0,1.0,2026898.0,2437438.0,Africa,4.1944
Albania,274791.0,54.0,3496.0,0.0,270869.0,17.0,426.0,2.0,1799730.0,2872116.0,Europe,99.7069
Algeria,265761.0,0.0,6874.0,0.0,178344.0,1.0,80543.0,6.0,230861.0,45282191.0,Africa,19.0408
Nigeria,255685.0,0.0,3143.0,0.0,249890.0,0.0,2652.0,11.0,5036813.0,215371389.0,Africa,234.6335
Zimbabwe,247524.0,36.0,5468.0,0.0,241362.0,34.0,694.0,12.0,2240305.0,15254021.0,Africa,39.2352
Uzbekistan,238442.0,24.0,1637.0,0.0,236458.0,35.0,347.0,23.0,1377915.0,34345999.0,Asia,76.8486
Montenegro,234619.0,70.0,2713.0,2.0,231297.0,88.0,609.0,6.0,2444820.0,628210.0,Europe,45.4641
Luxembourg,233966.0,0.0,1058.0,0.0,221501.0,0.0,11407.0,1.0,4213886.0,644386.0,Europe,248.4033
Mozambique,225358.0,6.0,2201.0,0.0,223104.0,0.0,53.0,13.0,1308458.0,32837490.0,Africa,41.2798
Laos,204893.0,619.0,732.0,2.0,7660.0,0.0,196501.0,0.0,1232128.0,7466398.0,Asia,31.5922
Kyrgyzstan,200983.0,0.0,2991.0,0.0,196376.0,5.0,1616.0,131.0,1907195.0,6718750.0,Asia,33.6496
Iceland,185074.0,0.0,114.0,0.0,75685.0,0.0,109275.0,1.0,1953616.0,345247.0,Europe,3.3533
Maldives,178883.0,0.0,298.0,0.0,163687.0,0.0,14898.0,25.0,2213831.0,557751.0,Asia,1803.2833
Afghanistan,178650.0,12.0,7681.0,1.0,161708.0,25.0,9261.0,1124.0,939616.0,40512612.0,Asia,62.4847
Uganda,164069.0,0.0,3596.0,0.0,100205.0,0.0,60268.0,2.0,2612795.0,48350505.0,Africa,200.5086
El Salvador,162089.0,0.0,4127.0,0.0,150662.0,0.0,7300.0,8.0,1950448.0,6545373.0,North America,311.3155
Ghana,161124.0,0.0,1445.0,0.0,159655.0,0.0,24.0,1.0,2433244.0,32245102.0,Africa,135.8112
Namibia,158332.0,52.0,4023.0,0.0,153662.0,0.0,647.0,0.0,1001354.0,2624072.0,Africa,3.1902
Martinique,147519.0,0.0,918.0,0.0,104.0,0.0,146497.0,8.0,828928.0,374739.0,North America,331.6374
Trinidad and Tobago,144359.0,475.0,3812.0,1.0,133604.0,236.0,6943.0,18.0,696148.0,1407681.0,North America,274.1881
Brunei,141014.0,141.0,218.0,0.0,139724.0,201.0,1072.0,0.0,717784.0,445052.0,Asia,77.2647
Guadeloupe,140130.0,0.0,854.0,0.0,2250.0,0.0,137026.0,19.0,938039.0,400248.0,North America,245.5737
Cambodia,136200.0,28.0,3056.0,0.0,132896.0,16.0,248.0,0.0,2946965.0,17137221.0,Asia,94.836
Rwanda,129764.0,0.0,1458.0,0.0,45522.0,0.0,82784.0,0.0,5225494.0,13532358.0,Africa,516.3818
Jamaica,129489.0,48.0,2943.0,2.0,82965.0,90.0,43581.0,0.0,981688.0,2984534.0,North America,271.5944
Cameroon,119780.0,0.0,1927.0,0.0,117791.0,0.0,62.0,13.0,1751774.0,27739834.0,Africa,58.7065
Angola,99194.0,0.0,1900.0,0.0,97149.0,0.0,145.0,0.0,1499795.0,34713148.0,Africa,28.096
Malta,90399.0,231.0,687.0,3.0,84111.0,590.0,5601.0,4.0,1870483.0,443669.0,Europe,1405.1677
DRC,87023.0,0.0,1337.0,0.0,50930.0,0.0,34756.0,0.0,846704.0,94480277.0,Africa,40.0
Senegal,85984.0,2.0,1966.0,1.0,84001.0,2.0,17.0,1.0,1063849.0,17541154.0,Africa,89.7392
Malawi,85747.0,4.0,2633.0,0.0,81938.0,4.0,1176.0,67.0,571585.0,20023110.0,Africa,170.3254
Ivory Coast,81887.0,6.0,799.0,0.0,81061.0,4.0,27.0,0.0,1494624.0,27558545.0,Africa,86.0325
French Guiana,80422.0,0.0,394.0,0.0,11254.0,0.0,68774.0,1.0,622646.0,312670.0,South America,3.761
Suriname,79302.0,0.0,1327.0,0.0,49396.0,0.0,28579.0,0.0,235824.0,596134.0,South America,3.6432
Channel Islands,73609.0,0.0,166.0,0.0,72059.0,0.0,1384.0,0.0,1252808.0,176760.0,Europe,915.0
French Polynesia,72648.0,0.0,648.0,0.0,3990.0,0.0,68010.0,7.0,76428.5,283844.0,Australia/Oceania,68.1939
Eswatini,70284.0,31.0,1397.0,1.0,68764.0,34.0,123.0,11.0,1012397.0,1181880.0,Africa,68.2341
Barbados,67256.0,446.0,389.0,1.0,63424.0,0.0,3443.0,0.0,640085.0,288011.0,North America,669.8209
Fiji,64524.0,0.0,862.0,0.0,62677.0,0.0,985.0,0.0,506642.0,908189.0,Australia/Oceania,49.7738
Madagascar,64121.0,0.0,1391.0,0.0,59370.0,0.0,3360.0,14.0,418849.0,28977264.0,Africa,49.7036
Guyana,63413.0,6.0,1228.0,0.0,62092.0,4.0,93.0,1.0,590638.0,793414.0,South America,3.6938
Sudan,62093.0,0.0,4930.0,0.0,46402.0,0.0,10761.0,0.0,562941.0,45699284.0,Africa,24.3851
New Caledonia,60457.0,0.0,312.0,0.0,60064.0,0.0,81.0,9.0,98964.0,290460.0,Australia/Oceania,15.6616
Mauritania,58683.0,0.0,982.0,0.0,57693.0,0.0,8.0,0.0,799187.0,4870479.0,Africa,4.756
Belize,57419.0,0.0,676.0,0.0,56534.0,0.0,209.0,6.0,534770.0,410674.0,North America,17.9478
Bhutan,57340.0,737.0,20.0,0.0,52774.0,695.0,4546.0,3.0,2279630.0,786968.0,Asia,20.5225
Cabo Verde,56004.0,3.0,401.0,0.0,55538.0,1.0,65.0,23.0,400982.0,566904.0,Africa,138.0
Syria,55795.0,3.0,3150.0,0.0,52090.0,12.0,555.0,0.0,146269.0,18268844.0,Asia,104.5729
Taiwan,51296.0,4202.0,856.0,0.0,23454.0,278.0,26986.0,0.0,14214319.0,23894707.0,Asia,660.0336
Gabon,47597.0,3.0,303.0,0.0,47282.0,2.0,12.0,0.0,1592483.0,2320633.0,Africa,8.7105
Papua New Guinea,43732.0,0.0,649.0,0.0,43025.0,0.0,58.0,7.0,249149.0,9253330.0,Australia/Oceania,20.0764
Seychelles,42079.0,0.0,165.0,0.0,41260.0,0.0,654.0,0.0,663805.0,99448.0,Africa,219.969
Curaçao,41966.0,314.0,273.0,2.0,41251.0,451.0,442.0,3.0,496693.0,165306.0,North America,370.0
Andorra,41013.0,0.0,153.0,0.0,40343.0,0.0,517.0,14.0,249838.0,77488.0,Europe,165.5192
Burundi,38887.0,34.0,38.0,0.0,773.0,0.0,38076.0,0.0,345742.0,12530563.0,Africa,453.5762
Mauritius,37656.0,0.0,990.0,0.0,35656.0,0.0,1010.0,0.0,358675.0,1275583.0,Africa,624.8662
Mayotte,37038.0,0.0,187.0,0.0,2964.0,0.0,33887.0,0.0,176919.0,284709.0,Africa,765.3984
Togo,36977.0,4.0,273.0,0.0,36679.0,0.0,25.0,0.0,727740.0,8629335.0,Africa,152.872
Guinea,36459.0,0.0,440.0,0.0,35976.0,0.0,43.0,8.0,660107.0,13776395.0,Africa,56.3974
Faeroe Islands,34658.0,0.0,28.0,0.0,7693.0,0.0,26937.0,5.0,778000.0,49199.0,Europe,35.3431
Aruba,34589.0,0.0,212.0,0.0,34251.0,0.0,126.0,2.0,177885.0,107586.0,North America,597.8278
Tanzania,33864.0,0.0,803.0,0.0,46402.0,0.0,0.0,7.0,663805.0,62808110.0,Africa,66.9764
Bahamas,33463.0,17.0,789.0,0.0,32310.0,5.0,364.0,11.0,229817.0,400037.0,North America,28.7252
Lesotho,32910.0,0.0,697.0,0.0,24155.0,0.0,8058.0,0.0,431221.0,2172951.0,Africa,71.6751
Mali,30727.0,11.0,731.0,0.0,29795.0,1.0,201.0,0.0,663805.0,21304609.0,Africa,17.3149
Haiti,30640.0,0.0,835.0,0.0,29389.0,0.0,416.0,0.0,132422.0,11653807.0,North America,420.9111
Isle of Man,28416.0,0.0,87.0,0.0,26794.0,0.0,1535.0,0.0,150753.0,85846.0,Europe,149.8811
Benin,26952.0,0.0,163.0,0.0,25506.0,0.0,1283.0,5.0,604310.0,12696930.0,Africa,113.5189
Somalia,26485.0,0.0,1350.0,0.0,13182.0,0.0,11953.0,0.0,400466.0,16694320.0,Africa,26.412
Congo,24079.0,0.0,385.0,0.0,20178.0,0.0,3516.0,0.0,347815.0,5763505.0,Africa,16.0
Saint Lucia,23239.0,38.0,368.0,0.0,22736.0,15.0,135.0,1.0,142630.0,185144.0,North America,300.5081
Timor-Leste,22860.0,0.0,130.0,0.0,22714.0,0.0,16.0,0.0,261007.0,1363829.0,Asia,92.0686
Cayman Islands,21755.0,0.0,26.0,0.0,8553.0,0.0,13176.0,1.0,222773.0,67117.0,North America,254.8371
Burkina Faso,20853.0,0.0,382.0,0.0,20439.0,0.0,32.0,0.0,248995.0,21938858.0,Africa,80.9726
Nicaragua,18491.0,0.0,225.0,0.0,4225.0,0.0,14041.0,0.0,354205.0,6767032.0,North America,51.9977
Gibraltar,17706.0,0.0,102.0,1.0,16579.0,0.0,1025.0,0.0,534283.0,33673.0,Europe,5617.3333
South Sudan,17422.0,0.0,138.0,0.0,13514.0,0.0,3770.0,1.0,376391.0,11430967.0,Africa,18.7472
Tajikistan,17388.0,0.0,124.0,0.0,17264.0,0.0,0.0,0.0,10635487.0,9924758.0,Asia,69.584
Liechtenstein,17091.0,27.0,84.0,0.0,16801.0,50.0,206.0,0.0,102174.0,38326.0,Europe,239.9187
San Marino,16140.0,0.0,114.0,0.0,15662.0,0.0,364.0,4.0,149271.0,34060.0,Europe,558.7705
Equatorial Guinea,15907.0,0.0,183.0,0.0,15698.0,0.0,26.0,5.0,310972.0,1486246.0,Africa,53.355
Djibouti,15611.0,0.0,189.0,0.0,15411.0,0.0,11.0,0.0,303924.0,1013971.0,Africa,43.7973
CAR,14649.0,0.0,113.0,0.0,6859.0,0.0,7677.0,2.0,81294.0,4981542.0,Africa,8.0
Grenada,14428.0,96.0,220.0,0.0,13945.0,73.0,263.0,4.0,148567.0,113466.0,North America,329.8692
Bermuda,13143.0,0.0,131.0,0.0,12719.0,0.0,293.0,0.0,866313.0,61862.0,North America,1147.0185
Solomon Islands,12437.0,0.0,139.0,0.0,11194.0,0.0,1104.0,2.0,5117.0,717320.0,Australia/Oceania,24.9571
Dominica,12011.0,0.0,63.0,0.0,11926.0,0.0,22.0,0.0,187690.0,72309.0,North America,96.3302
Gambia,11995.0,0.0,365.0,0.0,11591.0,0.0,39.0,0.0,155686.0,2539329.0,Africa,239.3565
Greenland,11971.0,0.0,21.0,0.0,2761.0,0.0,9189.0,4.0,164926.0,56948.0,North America,0.0263
Yemen,11818.0,0.0,2148.0,0.0,9001.0,0.0,669.0,23.0,265253.0,31013036.0,Asia,59.009
Monaco,11604.0,27.0,54.0,0.0,11362.0,34.0,188.0,4.0,54960.0,39745.0,Europe,19891.5
Saint Martin,10279.0,0.0,63.0,0.0,1399.0,0.0,8817.0,7.0,112382.0,39858.0,North America,749.6226
Sint Maarten,9990.0,9.0,86.0,0.0,9841.0,5.0,63.0,10.0,62056.0,43756.0,North America,1293.1176
Eritrea,9733.0,0.0,103.0,0.0,9629.0,0.0,1.0,0.0,23693.0,3635146.0,Africa,31.1415
Caribbean Netherlands,9592.0,0.0,34.0,0.0,9392.0,0.0,166.0,0.0,30126.0,26664.0,North America,80.0
Tonga,9553.0,0.0,11.0,0.0,8306.0,0.0,1236.0,0.0,408213.0,107861.0,Australia/Oceania,144.2423
Niger,8914.0,6.0,309.0,0.0,8507.0,9.0,98.0,1.0,249026.0,25789297.0,Africa,20.5869
Guinea-Bissau,8185.0,0.0,171.0,0.0,7515.0,39.0,499.0,6.0,132611.0,2052050.0,Africa,57.1174
Comoros,8100.0,0.0,160.0,0.0,7933.0,0.0,7.0,0.0,663805.0,903077.0,Africa,487.3357
Sierra Leone,7681.0,0.0,125.0,0.0,46402.0,0.0,0.0,0.0,259958.0,8270147.0,Africa,115.7853
Antigua and Barbuda,7571.0,0.0,135.0,0.0,7402.0,0.0,34.0,1.0,18901.0,99395.0,North America,225.1335
Liberia,7432.0,0.0,294.0,0.0,5747.0,0.0,1391.0,2.0,139824.0,5272486.0,Africa,47.6355
Chad,7396.0,0.0,193.0,0.0,4874.0,0.0,2329.0,0.0,191341.0,17277400.0,Africa,13.562
Samoa,7185.0,0.0,13.0,0.0,1605.0,0.0,5567.0,3.0,53893.0,200798.0,Australia/Oceania,71.1608
Vanuatu,6789.0,136.0,12.0,0.0,5991.0,92.0,786.0,5.0,24976.0,320114.0,Australia/Oceania,26.4035
St. Vincent Grenadines,6779.0,8.0,106.0,0.0,6641.0,0.0,32.0,0.0,98860.0,111577.0,North America,284.0
British Virgin Islands,6296.0,0.0,62.0,0.0,22736.0,0.0,0.0,1.0,102862.0,30595.0,North America,202.6225
Sao Tome and Principe,5953.0,0.0,73.0,0.0,5875.0,0.0,5.0,0.0,29036.0,226514.0,Africa,236.1815
Turks and Caicos,5941.0,0.0,36.0,0.0,5862.0,0.0,43.0,4.0,478593.0,39664.0,North America,41.0
Saint Kitts and Nevis,5561.0,0.0,43.0,0.0,5517.0,0.0,1.0,0.0,65141.0,53879.0,North America,206.4023
Cook Islands,4727.0,118.0,0.0,0.0,3990.0,17.0,737.0,0.0,15740.0,17593.0,Australia/Oceania,74.4534
St. Barth,4432.0,0.0,6.0,0.0,22736.0,0.0,0.0,0.0,78646.0,9931.0,North America,470.0
Palau,4396.0,0.0,6.0,0.0,3879.0,0.0,511.0,1.0,45500.0,18250.0,Australia/Oceania,39.7233
Kiribati,3076.0,0.0,13.0,0.0,2597.0,0.0,466.0,3.0,76428.5,122762.0,Australia/Oceania,152.1813
Anguilla,2731.0,0.0,9.0,0.0,2716.0,0.0,6.0,4.0,51382.0,15245.0,North America,167.3626
Saint Pierre Miquelon,2641.0,0.0,1.0,0.0,2449.0,0.0,191.0,1.0,22941.0,5743.0,North America,25.0
Wallis and Futuna,454.0,0.0,7.0,0.0,438.0,0.0,9.0,0.0,20508.0,10883.0,Australia/Oceania,77.338
Montserrat,183.0,0.0,2.0,0.0,174.0,0.0,7.0,0.0,9700.0,4997.0,North America,48.6765
Falkland Islands,128.0,0.0,0.0,0.0,854575.0,0.0,0.0,0.0,8632.0,3663.0,South America,0.2907
Macao,82.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,5375.0,665336.0,Asia,22249.6667
