,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
202,Liberia,"7,434",,294,,"5,747",,"1,393",2,"1,409",56,"139,824","26,510","5,274,440"
203,Chad,"7,411",,193,,"4,874",,"2,344",,429,11,"191,341","11,070","17,285,158"
204,Vanuatu,"7,330",+185,13,,"6,726",+101,591,3,"22,890",41,"24,976","77,993","320,232"
205,St. Vincent Grenadines,"6,784",,106,,"6,641",,37,,"60,798",950,"98,908","886,407","111,583"
206,British Virgin Islands,"6,355",,62,,N/A,N/A,N/A,1,"207,693","2,026","103,049","3,367,834","30,598"
207,Turks and Caicos,"5,963",,36,,"5,862",,65,4,"150,308",907,"488,787","12,320,705","39,672"
208,Sao Tome and Principe,"5,957",,73,,"5,880",,4,,"26,291",322,"29,036","128,148","226,581"
209,Saint Kitts and Nevis,"5,562",,43,,"5,518",,1,,"103,220",798,"65,141","1,208,889","53,885"
210,Cook Islands,"5,031",+41,1,,"4,733",+118,297,,"285,966",57,"16,607","943,955","17,593"
211,Palau,"4,610",+124,6,,"3,984",+71,620,1,"252,589",329,"46,016","2,521,287","18,251"
212,St. Barth,"4,544",,6,,N/A,N/A,N/A,,"457,511",604,"78,646","7,918,445","9,932"
213,Kiribati,"3,081",+1,13,,"2,601",+2,467,3,"25,091",106,,,"122,792"
214,Anguilla,"2,788",,9,,"2,766",,13,4,"182,856",590,"51,382","3,369,974","15,247"
215,Saint Pierre Miquelon,"2,701",+60,1,,"2,449",,251,1,"470,394",174,"23,446","4,083,246","5,742"
216,Diamond Princess,712,,13,,699,,0,,,,,,
217,Wallis and Futuna,454,,7,,438,,9,,"41,728",643,"20,508","1,884,926","10,880"
218,Montserrat,216,,2,,175,,39,,"43,217",400,"9,908","1,982,393","4,998"
219,Falkland Islands,128,,,,N/A,N/A,N/A,,"34,925",,"8,632","2,355,252","3,665"
220,Macao,82,,,,82,,0,,123,,"5,375","8,077","665,481"
221,Vatican City,29,,,,29,,0,,"36,025",,,,805
222,Marshall Islands,17,,,,14,+7,3,,284,,,,"59,919"
223,Western Sahara,10,,1,,9,,0,,16,2,,,"624,117"
224,MS Zaandam,9,,2,,7,,0,,,,,,
225,Niue,9,+1,,,7,,2,,"5,468",,,,"1,646"
226,Nauru,4,,,,3,,1,,365,,,,"10,948"
227,Micronesia,3,,,,1,,2,,26,,,,"117,222"
228,Saint Helena,2,,,,2,,0,,327,,,,"6,110"
229,Total:,"512,810,334","+584,947","6,259,142","+2,349","466,646,163","+731,536","39,905,029","41,347","65,788.8",803.0,,,
